Customer_ID,Signup_Date,Segment,Plan,Monthly_Spend,NPS_Score,Churn_Status,Support_Tickets
CUST-2000,2026-01-30,Startup,Enterprise Scale,5646,2,Active,3
CUST-2001,2026-05-21,Startup,Starter,295,2,At Risk,2
CUST-2002,2026-02-07,Mid-Market,Starter,206,2,Active,0
CUST-2003,2026-02-03,Mid-Market,Starter,258,7,Active,4
CUST-2004,2026-01-02,Startup,Professional,1101,1,Active,4
CUST-2005,2026-06-03,Enterprise,Professional,783,2,Active,0
CUST-2006,2026-06-17,SMB,Starter,136,4,Active,2
CUST-2007,2026-01-23,Enterprise,Starter,205,9,Active,4
CUST-2008,2026-05-24,Mid-Market,Custom Unlimited,8587,4,Active,2
CUST-2009,2026-04-05,Startup,Starter,293,2,Active,0
CUST-2010,2026-06-27,SMB,Enterprise Scale,6797,9,Active,0
CUST-2011,2026-01-28,Enterprise,Custom Unlimited,12705,5,Active,2
CUST-2012,2026-05-15,SMB,Professional,1075,7,Active,3
CUST-2013,2026-02-16,Mid-Market,Enterprise Scale,3468,1,Active,1
CUST-2014,2026-06-07,Startup,Custom Unlimited,17181,3,Active,0
CUST-2015,2026-06-13,Mid-Market,Enterprise Scale,3055,8,Active,2
CUST-2016,2026-01-02,Enterprise,Enterprise Scale,7160,3,Active,2
CUST-2017,2026-03-28,Startup,Custom Unlimited,15888,7,Active,4
CUST-2018,2026-03-27,Startup,Custom Unlimited,12904,10,Active,2
CUST-2019,2026-05-23,Enterprise,Professional,1200,2,Active,2
CUST-2020,2026-01-08,SMB,Custom Unlimited,17354,2,Active,4
CUST-2021,2026-01-30,SMB,Enterprise Scale,4724,3,Active,2
CUST-2022,2026-04-26,SMB,Professional,808,0,Active,1
CUST-2023,2026-01-24,Startup,Starter,222,7,Active,4
CUST-2024,2026-03-21,SMB,Professional,1391,2,Active,1
CUST-2025,2026-01-10,Startup,Custom Unlimited,9897,0,Active,4
CUST-2026,2026-01-23,SMB,Custom Unlimited,13119,4,Active,1
CUST-2027,2026-03-24,Mid-Market,Professional,782,10,Active,0
CUST-2028,2026-03-11,Mid-Market,Professional,616,3,Active,4
CUST-2029,2026-03-31,SMB,Enterprise Scale,4820,1,Active,2
CUST-2030,2026-06-06,SMB,Custom Unlimited,15712,0,At Risk,1
CUST-2031,2026-04-09,Enterprise,Starter,208,10,At Risk,11
CUST-2032,2026-06-29,Startup,Enterprise Scale,4123,7,Active,4
CUST-2033,2026-02-03,Enterprise,Custom Unlimited,15625,3,Active,1
CUST-2034,2026-06-07,SMB,Enterprise Scale,5206,0,Active,0
CUST-2035,2026-05-02,Enterprise,Enterprise Scale,3899,9,Active,4
CUST-2036,2026-02-02,Enterprise,Custom Unlimited,13339,1,Active,2
CUST-2037,2026-05-17,Startup,Custom Unlimited,11992,7,Active,3
CUST-2038,2026-01-17,SMB,Professional,1104,5,Active,4
CUST-2039,2026-06-27,Mid-Market,Professional,1184,1,Active,4
CUST-2040,2026-06-02,Startup,Enterprise Scale,6147,6,Active,0
CUST-2041,2026-06-03,Enterprise,Custom Unlimited,9483,2,Active,4
CUST-2042,2026-06-12,Enterprise,Professional,651,9,Active,4
CUST-2043,2026-04-25,Mid-Market,Professional,1397,10,Active,2
CUST-2044,2026-04-22,SMB,Starter,248,4,At Risk,0
CUST-2045,2026-04-05,Enterprise,Starter,279,0,At Risk,3
CUST-2046,2026-04-21,Startup,Enterprise Scale,5826,3,Active,1
CUST-2047,2026-05-02,Mid-Market,Professional,892,10,Active,1
CUST-2048,2026-02-04,Enterprise,Starter,264,2,Active,0
CUST-2049,2026-02-05,Startup,Custom Unlimited,10945,6,Active,4
CUST-2050,2026-04-26,Startup,Enterprise Scale,5979,7,Active,1
CUST-2051,2026-05-09,SMB,Custom Unlimited,8548,9,Churned,7
CUST-2052,2026-06-30,SMB,Starter,247,8,Active,2
CUST-2053,2026-04-30,Enterprise,Starter,161,4,Active,4
CUST-2054,2026-01-14,SMB,Starter,219,5,Active,3
CUST-2055,2026-04-01,SMB,Enterprise Scale,7395,9,Active,2
CUST-2056,2026-01-16,Startup,Professional,551,1,Active,1
CUST-2057,2026-05-10,Enterprise,Enterprise Scale,4801,0,At Risk,11
CUST-2058,2026-01-29,Mid-Market,Professional,956,3,Active,3
CUST-2059,2026-02-16,Enterprise,Enterprise Scale,3688,2,At Risk,7
CUST-2060,2026-04-16,Startup,Professional,949,5,Active,0
CUST-2061,2026-06-14,SMB,Starter,112,7,Active,4
CUST-2062,2026-03-01,Startup,Custom Unlimited,16690,0,At Risk,4
CUST-2063,2026-04-25,Startup,Enterprise Scale,2836,10,At Risk,5
CUST-2064,2026-04-21,SMB,Enterprise Scale,3305,6,Active,3
CUST-2065,2026-06-22,Mid-Market,Professional,844,10,Active,0
CUST-2066,2026-01-18,Enterprise,Custom Unlimited,15306,4,Active,2
CUST-2067,2026-02-19,Enterprise,Starter,257,3,Active,4
CUST-2068,2026-06-13,Enterprise,Starter,121,10,Active,4
CUST-2069,2026-02-17,Enterprise,Professional,800,4,Active,3
CUST-2070,2026-06-27,SMB,Enterprise Scale,3106,6,Active,3
CUST-2071,2026-03-27,Enterprise,Enterprise Scale,6109,3,Active,4
CUST-2072,2026-04-11,Mid-Market,Custom Unlimited,15065,10,Active,0
CUST-2073,2026-04-24,SMB,Starter,107,7,Active,0
CUST-2074,2026-05-08,Mid-Market,Starter,108,5,Active,3
CUST-2075,2026-05-28,Enterprise,Custom Unlimited,9148,0,Active,3
CUST-2076,2026-06-26,Startup,Starter,244,6,Active,0
CUST-2077,2026-06-11,Enterprise,Enterprise Scale,5285,4,At Risk,10
CUST-2078,2026-02-21,Mid-Market,Starter,197,1,Active,2
CUST-2079,2026-05-05,Enterprise,Custom Unlimited,8584,9,Active,1
CUST-2080,2026-05-06,Startup,Starter,237,7,Active,0
