Order_ID,Order_Date,Warehouse,Shipping_Mode,Delivery_Status,Fulfillment_Time_Days,Customer_Rating,Shipping_Cost
ORD-2026-1000,2026-05-08,West Hub - Reno,Priority Freight,Delivered,7,5,149.82
ORD-2026-1001,2026-04-07,Central Hub - Chicago,Same-Day Courier,Out for Delivery,5,5,182.64
ORD-2026-1002,2026-06-27,EU Hub - Frankfurt,Express Air,In Transit,3,4,264.63
ORD-2026-1003,2026-06-02,Central Hub - Chicago,Express Air,In Transit,3,5,205.74
ORD-2026-1004,2026-05-25,EU Hub - Frankfurt,Priority Freight,Out for Delivery,5,5,54.09
ORD-2026-1005,2026-02-26,West Hub - Reno,Same-Day Courier,Delivered,5,4,198.63
ORD-2026-1006,2026-05-09,West Hub - Reno,Priority Freight,Out for Delivery,5,5,147.71
ORD-2026-1007,2026-01-22,Central Hub - Chicago,Standard Ground,Delivered,4,5,86.03
ORD-2026-1008,2026-05-04,East Hub - Newark,Same-Day Courier,Delivered,7,4,119.08
ORD-2026-1009,2026-03-18,Central Hub - Chicago,Express Air,Delivered,3,4,224.76
ORD-2026-1010,2026-02-12,West Hub - Reno,Standard Ground,Delivered,4,5,307.75
ORD-2026-1011,2026-03-01,EU Hub - Frankfurt,Standard Ground,Delivered,7,5,33.61
ORD-2026-1012,2026-06-07,West Hub - Reno,Same-Day Courier,Delivered,5,5,88.36
ORD-2026-1013,2026-03-13,Central Hub - Chicago,Express Air,In Transit,2,5,83.14
ORD-2026-1014,2026-01-30,East Hub - Newark,Same-Day Courier,Delivered,7,5,139.65
ORD-2026-1015,2026-04-11,Central Hub - Chicago,Priority Freight,Delivered,5,4,265.05
ORD-2026-1016,2026-06-30,East Hub - Newark,Express Air,Delivered,3,5,115.09
ORD-2026-1017,2026-02-16,East Hub - Newark,Standard Ground,Delivered,5,5,194.57
ORD-2026-1018,2026-04-19,West Hub - Reno,Same-Day Courier,Delivered,7,3,299.56
ORD-2026-1019,2026-02-14,West Hub - Reno,Same-Day Courier,Delivered,3,5,158.05
ORD-2026-1020,2026-01-14,East Hub - Newark,Express Air,Delivered,2,4,309.33
ORD-2026-1021,2026-05-10,EU Hub - Frankfurt,Same-Day Courier,Delivered,5,4,155.94
ORD-2026-1022,2026-02-12,Central Hub - Chicago,Express Air,In Transit,2,5,106.08
ORD-2026-1023,2026-05-18,East Hub - Newark,Standard Ground,In Transit,6,4,250.95
ORD-2026-1024,2026-05-21,Central Hub - Chicago,Express Air,Delivered,3,5,248.25
ORD-2026-1025,2026-04-23,West Hub - Reno,Same-Day Courier,Delivered,8,4,98.02
ORD-2026-1026,2026-01-09,EU Hub - Frankfurt,Priority Freight,Delivered,8,5,280.26
ORD-2026-1027,2026-01-31,West Hub - Reno,Standard Ground,In Transit,6,4,279.01
ORD-2026-1028,2026-06-06,EU Hub - Frankfurt,Standard Ground,Delivered,8,5,86.05
ORD-2026-1029,2026-01-16,East Hub - Newark,Priority Freight,Delivered,3,5,232.7
ORD-2026-1030,2026-03-16,East Hub - Newark,Express Air,Delivered,4,3,317.78
ORD-2026-1031,2026-06-17,West Hub - Reno,Standard Ground,Delivered,7,5,98.03
ORD-2026-1032,2026-06-23,EU Hub - Frankfurt,Same-Day Courier,Delivered,7,5,147.2
ORD-2026-1033,2026-04-26,Central Hub - Chicago,Express Air,Delivered,3,4,283.81
ORD-2026-1034,2026-04-27,EU Hub - Frankfurt,Priority Freight,Delivered,8,4,241.15
ORD-2026-1035,2026-04-28,East Hub - Newark,Express Air,In Transit,4,5,151.74
ORD-2026-1036,2026-02-24,EU Hub - Frankfurt,Priority Freight,Delivered,4,5,195.49
ORD-2026-1037,2026-05-25,EU Hub - Frankfurt,Priority Freight,Delayed,11,5,209.72
ORD-2026-1038,2026-04-28,Central Hub - Chicago,Express Air,Delayed,8,5,317.59
ORD-2026-1039,2026-04-20,West Hub - Reno,Standard Ground,Delayed,8,3,283.6
ORD-2026-1040,2026-01-24,East Hub - Newark,Priority Freight,Delivered,7,3,73.83
ORD-2026-1041,2026-04-12,East Hub - Newark,Standard Ground,Delivered,2,4,25.32
ORD-2026-1042,2026-05-03,Central Hub - Chicago,Standard Ground,Delivered,6,4,27.74
ORD-2026-1043,2026-06-28,East Hub - Newark,Express Air,Out for Delivery,4,4,165.92
ORD-2026-1044,2026-02-28,EU Hub - Frankfurt,Express Air,In Transit,1,5,133.43
ORD-2026-1045,2026-03-18,West Hub - Reno,Same-Day Courier,In Transit,8,3,214.26
ORD-2026-1046,2026-06-23,West Hub - Reno,Express Air,Delivered,1,4,73.41
ORD-2026-1047,2026-03-31,West Hub - Reno,Standard Ground,Delayed,12,3,50.57
ORD-2026-1048,2026-01-26,West Hub - Reno,Express Air,Delivered,4,5,151.67
ORD-2026-1049,2026-02-05,West Hub - Reno,Priority Freight,Delivered,3,5,202.0
ORD-2026-1050,2026-06-05,East Hub - Newark,Express Air,In Transit,3,5,204.04
ORD-2026-1051,2026-02-18,EU Hub - Frankfurt,Priority Freight,Delivered,8,3,306.63
